dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_grammar_code	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
20648	genuin	genuin			ADJ	1 1 POS	1	1		POS			X	X	X	D	O	natural, inborn, innate; native; genuine, authentic;
20649	genuine				ADV	POS				POS			X	X	X	F	O	truly;
20650	genus	gener			N	3 2 N T	3	2	N		T		X	X	X	D	X	birth/descent/origin; race/family/house/stock/ancestry; offspring/descent; noble birth; kind/sort/variety; class/rank; mode/method/style/fashion/way;
20651	geocentric	geocentric			ADJ	1 1 POS	1	1		POS			G	S	X	E	K	geocentric;
20652	geocentrism	geocentrism			N	2 1 M T	2	1	M		T		G	S	X	E	K	geocentrism;
20653	geochemi	geochemi			N	1 1 F T	1	1	F		T		G	S	X	E	K	geochemistry;
20654	geochemist	geochemist			N	1 1 M P	1	1	M		P		G	S	X	E	K	geochemist;
20655	geodaetic	geodaetic			ADJ	1 1 POS	1	1		POS			G	S	X	E	K	geodesic;
20656	geographi	geographi			N	1 1 F T	1	1	F		T		X	S	X	F	O	geography; geographical work/book;
20657	geographic	geographic			ADJ	1 1 POS	1	1		POS			X	S	X	F	S	geographic; geographical;
20658	geolog	geolog			N	2 1 M P	2	1	M		P		G	S	X	E	K	geologist;
20659	geologi	geologi			N	1 1 F T	1	1	F		T		G	S	X	E	K	geology;
20660	geologic	geologic			ADJ	1 1 POS	1	1		POS			G	X	X	E	K	geological;
20661	geometr	geometr			N	1 7 M P	1	7	M		P		X	S	X	E	C	geometer;
20662	geometri	geometri			N	1 1 F T	1	1	F		T		X	X	X	D	X	geometry;
20663	geometric	geometric			N	2 1 M P	2	1	M		P		X	S	X	E	C	geometer;
20664	geometric	geometric			ADJ	1 1 POS	1	1		POS			X	S	X	E	C	geometrical;
20665	georgic	georgic			ADJ	1 1 POS	1	1		POS			X	A	X	E	C	agricultural;
20666	ger	ger	gess	gest	V	3 1 X	3	1			X		X	X	X	A	X	bear, carry, wear; carry on; manage, govern; (se gerere = to conduct oneself);
