dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_grammar_code	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
0	A				N	9 8 M N	9	8	M		N		X	X	X	C	G	Aulus (Roman praenomen); (abb. A./Au.); [Absolvo, Antiquo => free, reject];
1	a				N	9 8 M T	9	8	M		T		X	X	X	D	G	year; abb. ann./a.; [regnavit a(nnis). XLIIII => he reigned for 44 years];
2	a				PREP	ABL						ABL	X	X	X	A	O	by (agent), from (departure, cause, remote origin/time); after (reference);
3	a				PREP	ACC						ACC	X	X	X	C	O	ante, abb. a.; [in calendar expression a. d. = ante diem => before the day];
4	a				INTERJ								X	X	X	B	O	Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
5	ab				PREP	ABL						ABL	X	X	X	A	O	by (agent), from (departure, cause, remote origin/time); after (reference);
6	abac	abac			N	2 1 M T	2	1	M		T		E	E	X	C	E	small table for cruets, credence, shelf/niche near altar for Eucharist; buffet; counting-board; side-board; slab table; panel; square stone on top of column;
7	abact	abact			N	4 1 M T	4	1	M		T		X	A	X	E	O	cattle thieving, stealing of cattle, rustling;
8	abact	abact			ADJ	1 1 POS	1	1		POS			X	X	X	E	S	driven away/off/back; forced to resign (office); restrained by; passed (night);
9	abacti	abacti			ADJ	1 1 POS	1	1		POS			X	A	X	E	O	stolen/rustled (of cattle);
10	abactor	abactor			N	3 1 M P	3	1	M		P		X	A	X	E	O	cattle thief, rustler; one who drives off;
11	abacul	abacul			N	2 1 M T	2	1	M		T		E	T	X	F	S	tessera/small cube of colored glass for ornamental pavements/wall mosaics;
12	abaestu	abaestu	abaestuav	abaestuat	V	1 1 INTRANS	1	1			INTRANS		D	X	X	F	S	wave down; hang down richly (poet.);
13	abagment	abagment			N	2 2 N T	2	2	N		T		D	B	X	F	S	means for obtaining abortion?;
14	abalien	abalien	abalienav	abalienat	V	1 1 TRANS	1	1			TRANS		X	X	X	B	S	make alien; separate, abstract; alienate, estrange, make disaffected; transfer (sale/contract); remove, take away, dispose of; numb/deaden;
15	abalienat	abalienat			ADJ	1 1 POS	1	1		POS			X	X	X	D	O	unfriendly, estranged; dead/mortified (medical, of tissues);
16	abalienatio	abalienation			N	3 1 F T	3	1	F		T		X	L	X	D	O	transfer of property (legal), sale; cession; alienation;
17	abambul	abambul	abambulav	abambulat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	F	O	go away;
18	abamit	abamit			N	1 1 F P	1	1	F		P		X	X	X	E	O	great-great-great aunt; (sister of abavus/gt-gt-grandfather); female ancestor;
19	abante				ADV	POS				POS			X	X	X	I	O	in front (of); before;
20	abante				PREP	ABL						ABL	X	X	X	E	S	from before/in front of;
21	abarc	abarc	-	-	V	2 1 TRANS	2	1			TRANS		X	X	X	E	O	keep away;
22	abascant	abascant			ADJ	1 1 POS	1	1		POS			X	X	X	F	S	unenvied?;
23	abav	abav			N	2 1 M P	2	1	M		P		X	X	X	C	O	ancestor, forefather; great-great grandfather, grandfather's grandfather;
24	abavi	abavi			N	1 1 F P	1	1	F		P		X	X	X	E	O	ancestress; great-great grandmother;
25	abavuncul	abavuncul			N	2 1 M P	2	1	M		P		X	X	X	E	O	great-great-great-great uncle; remote ancestor;
26	abax	abac			N	3 1 M T	3	1	M		T		D	X	X	F	S	counting-board; side-board; slab table; panel; square stone on top of column;
27	Abba				N	9 9 M N	9	9	M		N		E	E	Q	E	E	Father; (Aramaic); bishop of Syriac/Coptic church; (false read obba/decanter);
28	abbas	abbat			N	3 1 M P	3	1	M		P		E	E	X	C	E	abbot; head of an ecclesiastical community; father; any respected monk (early);
29	abbati	abbati			N	1 1 F T	1	1	F		T		E	E	X	C	E	abbey, monastery;
30	abbatial	abbatial			ADJ	3 2 POS	3	2		POS			E	E	X	C	E	of/pertaining to an abbot/abbey; abbey derived;
31	abbatiss	abbatiss			N	1 1 F P	1	1	F		P		E	E	X	C	E	abbess;
32	abbatiz	abbatiz	-	-	V	1 1 INTRANS	1	1			INTRANS		F	E	X	F	M	be abbot;
33	abbib	abbib	abbib	-	V	3 1 X	3	1			X		X	X	X	D	O	drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;
34	abbit	abbit	-	-	V	3 1 INTRANS	3	1			INTRANS		X	X	X	F	O	approach, come/draw near;
35	abbrevi	abbrevi	abbreviav	abbreviat	V	1 1 TRANS	1	1			TRANS		E	X	X	C	E	shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;
36	abbreviat	abbreviat			ADJ	1 1 POS	1	1		POS			E	X	X	C	W	abridged, shortened, cut off; straitened, contracted, narrowed; abbreviated;
37	abbreviatio	abbreviation			N	3 1 F T	3	1	F		T		E	X	X	F	S	abbreviation; diminution; epitome (Souter); shortening;
38	abbreviator	abbreviator			N	3 1 M P	3	1	M		P		E	E	X	E	E	summarizer; one who makes abstracts/epitomes from papal bulls;
39	abbrocament	abbrocament			N	2 2 N T	2	2	N		T		F	X	X	E	Q	abbrochment, forestalling market/fair (buying before fair then retailing OED);
40	abd	abd	abdid	abdit	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	remove, put away, set aside; depart, go away; hide, keep secret, conceal;
41	abdic	abdic	abdicav	abdicat	V	1 1 TRANS	1	1			TRANS		X	L	X	B	O	resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;
42	abdic	abdic	abdix	abdict	V	3 1 TRANS	3	1			TRANS		X	L	X	E	O	be against, reject; withhold (someone's right); forbid by unfavorable omen;
43	abdicat	abdicat			N	2 1 M P	2	1	M		P		X	X	X	F	O	disowned/disinherited son;
44	abdicatio	abdication			N	3 1 F T	3	1	F		T		X	L	X	D	O	renunciation; disowning/disinheriting (son); resignation/abdication (office);
45	abdicativ	abdicativ			ADJ	1 1 POS	1	1		POS			D	X	X	E	S	negative;
46	abdicative				ADV	POS				POS			D	X	X	E	S	negatively;
47	abdicatrix	abdicatric			N	3 1 F P	3	1	F		P		D	X	X	F	S	renouncer (female); she who renounces/disclaims something;
48	abdit	abdit			N	2 2 N W	2	2	N		W		X	X	X	C	E	hidden/secret/out of the way place, lair, (in) secret;
49	abdit	abdit			ADJ	1 1 POS	1	1		POS			X	X	X	B	O	hidden, secret, out of the way, remote, secluded; obscure/abstruse (meaning);
50	abdite				ADV	POS				POS			X	X	X	F	S	secretly;
51	abditiv	abditiv			ADJ	1 1 POS	1	1		POS			X	X	X	F	C	removed, separated (from);
52	abdomen	abdomin			N	3 2 N T	3	2	N		T		X	B	X	C	O	abdomen, paunch, lower part of the belly; gluttony; as indicative of obesity;
53	abdominal	abdominal			ADJ	3 2 POS	3	2		POS			G	B	X	E	K	abdominal;
54	abduc	abduc	abdux	abduct	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;
55	abductio	abduction			N	3 1 F T	3	1	F		T		D	X	X	E	S	abduction, forcible carrying off; robbing; retirement (Vulg. Eccli.);
56	abe	abi	abiv	abit	V	6 1 INTRANS	6	1			INTRANS		X	X	X	A	O	depart, go away; go off, go forth; pass away, die, disappear; be changed;
57	abecedari	abecedari			N	1 1 F T	1	1	F		T		D	X	X	F	S	elementary introduction; the ABC of the matter;
58	abecedari	abecedari			N	2 1 M P	2	1	M		P		D	X	X	F	S	one who learns the ABC's;
59	abecedari	abecedari			N	2 2 N T	2	2	N		T		E	E	X	C	E	alphabet;
60	abecedari	abecedari			ADJ	1 1 POS	1	1		POS			D	X	X	F	S	alphabetical; belonging to the alphabet;
61	abecetuori	abecetuori			N	2 2 N T	2	2	N		T		E	E	X	E	E	act of tracing Greek and Hebrew alphabets on church floor while consecrating;
62	abellan	abellan			N	1 1 F T	1	1	F		T		X	A	X	C	O	filbert, hazel nut;
63	abellan	abellan			ADJ	1 1 POS	1	1		POS			X	A	X	C	O	filbert/hazel (w/nut); of Abella (town in Campania noted for fruit/filberts);
64	abequit	abequit	abequitav	abequitat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	E	O	ride away;
65	aberc	aberc	-	-	V	2 1 TRANS	2	1			TRANS		X	X	X	E	O	keep away; forbid;
66	aberr	aberr	aberrav	aberrat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	B	O	stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);
67	aberratio	aberration			N	3 1 F T	3	1	F		T		X	X	X	E	O	diversion, relief;
68	abfer	abfer	-	-	V	3 2 TRANS	3	2			TRANS		X	X	X	C	O	bear, take away, remove, obtain, carry off/away, steal; (error for aufero);
69	abflu	abflu	abflux	-	V	3 1 INTRANS	3	1			INTRANS		X	X	X	E	O	flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);
70	abfugi	abfug	abfug	-	V	3 1 X	3	1			X		X	X	X	C	O	flee (from), shun; run/fly away, escape; disappear/vanish (things);
71	abhib	abhib	-	-	V	2 1 TRANS	2	1			TRANS		X	X	X	E	O	hold at a distance;
72	abhinc				ADV	POS				POS			X	X	X	C	O	since, ago, in past; from this time, henceforth; from this place, hence;
73	abhorr	abhorr	abhorru	-	V	2 1 X	2	1			X		X	X	X	A	O	abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;
74	abhorresc	abhorresc	abhorru	-	V	3 1 X	3	1			X		D	E	X	F	S	dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;
75	abhorrid	abhorrid			ADJ	1 1 POS	1	1		POS			X	X	X	F	O	rough, unsightly;
76	abhorride				ADV	POS				POS			D	X	X	F	S	roughly, improperly; in an unfit manner;
77	abic	abic	-	-	V	3 1 TRANS	3	1			TRANS		E	X	X	C	N	humble; cast aside/away/off, reject;
78	abici	abic	abjec	abject	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
79	abiegn	abiegn			ADJ	1 1 POS	1	1		POS			X	A	X	C	O	made of fir, deal; wooden;
80	abiegne	abiegne			ADJ	1 1 POS	1	1		POS			X	A	X	E	O	made of fir, deal;
81	abiegni	abiegni			ADJ	1 1 POS	1	1		POS			X	A	X	E	O	made of fir, deal;
82	abies	abiet			N	3 1 F T	3	1	F		T		X	A	X	B	O	fir tree/wood; white/silver fir, spruce; thing of fir, ship, spear; sea weed;
83	abietari	abietari			N	2 1 M P	2	1	M		P		X	A	X	E	O	timber merchant; carpenter, joiner;
84	abietari	abietari			ADJ	1 1 POS	1	1		POS			X	A	X	E	O	of/pertaining to/concerned with timber or fir/deal;
85	abig	abig			N	1 1 F T	1	1	F		T		D	B	X	F	S	plant which has the power of producing abortion;
86	abig	abig	abeg	abact	V	3 1 TRANS	3	1			TRANS		X	X	X	B	O	drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce; remove/cure (disease); drive away (an evil); force birth; procure abortion;
87	abig	abig	abig	abact	V	3 1 TRANS	3	1			TRANS		E	X	X	B	W	drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce; remove/cure (disease); drive away (an evil); force birth; procure abortion;
88	abige	abige			N	2 1 M P	2	1	M		P		X	A	X	E	O	cattle stealer/thief, rustler;
89	abigeat	abigeat			N	4 1 M T	4	1	M		T		X	A	X	E	O	cattle stealing, rustling;
90	abigeator	abigeator			N	3 1 M P	3	1	M		P		D	A	X	E	S	cattle stealer/thief, rustler;
91	abinde				ADV	POS				POS			X	X	X	E	O	from that source, thence;
92	abinvicem				ADV	POS				POS			F	X	X	E	M	mutually; (usually as two words); from one another;
93	abit	abit			N	4 1 M T	4	1	M		T		X	X	X	C	O	departure, removal; going away; way out, exit, outlet, passage out, egress;
94	abit	abit	abitav	abitat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	F	C	go away, depart;
95	abitio	abition			N	3 1 F T	3	1	F		T		X	X	X	D	O	departure; going away, departing;
96	abject	abject	abjectav	abjectat	V	1 1 TRANS	1	1			TRANS		F	X	X	C	V	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
97	abject	abject	abjecti	abjectissi	ADJ	1 1 X	1	1		X			X	X	X	B	L	downcast, dejected; humble, low, common, mean; subservient; base, sordid, vile;
98	abjecte	abjectius	abjectissime		ADV	X				X			X	X	X	C	L	in spiritless manner; in humble circumstances, lowly; negligently; cowardly;
99	abjectio	abjection			N	3 1 F T	3	1	F		T		X	X	X	E	O	dejection; a casting down/out; outcast;
100	abjici	abjic	abjec	abject	V	3 1 TRANS	3	1			TRANS		X	X	X	A	S	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
101	abjudic	abjudic	abjudicav	abjudicat	V	1 1 TRANS	1	1			TRANS		X	L	X	C	O	deprive by judicial verdict; give judgment against; reject; deny an oath;
102	abjudicativ	abjudicativ			ADJ	1 1 POS	1	1		POS			D	S	X	F	S	negative;
103	abjug	abjug	abjugav	abjugat	V	1 1 TRANS	1	1			TRANS		X	X	X	E	S	separate (from), remove; loose from the yoke;
104	abjung	abjung	abjunx	abjunct	V	3 1 TRANS	3	1			TRANS		X	X	X	B	O	unyoke, remove, separate; unharness; remove part, split; cut off from, detach;
105	abjur	abjur	abjurav	abjurat	V	1 1 TRANS	1	1			TRANS		X	L	X	C	O	repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;
106	abjuratio	abjuration			N	3 1 F T	3	1	F		T		E	E	X	C	E	abjuration, process where heretics/apostates/schismatics renounce their errors; forswearing, denial under oath; perjury;
107	abjurg	abjurg	abjurgav	abjurgat	V	1 1 TRANS	1	1			TRANS		X	L	X	E	O	take away in settlement of a quarrel; deny/refuse reproachfully (L+S);
108	ablact	ablact	ablactav	ablactat	V	1 1 INTRANS	1	1			INTRANS		E	X	X	C	E	wean;
109	ablactatio	ablactation			N	3 1 F T	3	1	F		T		D	E	X	E	S	act/process of weaning a child;
110	ablacu	ablacu	ablacuav	ablacuat	V	1 1 X	1	1			X		X	A	X	E	O	loosen/weed the soil at the roots (of trees);
111	ablacu	ablacu	ablacuav	ablacuat	V	1 1 TRANS	1	1			TRANS		X	A	X	E	O	loosen/weed the soil at the roots (of trees);
112	ablaque	ablaque	ablaqueav	ablaqueat	V	1 1 TRANS	1	1			TRANS		X	A	X	E	O	loosen/weed the soil at the roots (of trees);
113	ablaqueatio	ablaqueation			N	3 1 F T	3	1	F		T		X	A	X	E	O	act/process of loosening/weeding soil at base/roots of a tree;
114	ablatio	ablation			N	3 1 F T	3	1	F		T		D	E	X	E	S	removal, taking away;
115	ablativ	ablativ			N	2 1 M T	2	1	M		T		X	G	X	E	O	ablative case (with or without casus) (gram.);
116	ablativ	ablativ			ADJ	1 1 POS	1	1		POS			X	G	X	E	O	ablative (gram.);
117	ablator	ablator			N	3 1 M P	3	1	M		P		X	X	X	E	E	one who takes away/removes;
118	ableg	ableg	ablegav	ablegat	V	1 1 TRANS	1	1			TRANS		X	X	X	C	O	send away/off (on a mission); banish, get rid of; remove/delete a word;
119	ablegatio	ablegation			N	3 1 F T	3	1	F		T		X	X	X	E	O	dispatch, sending away/off; dispatch on a duty;
120	ablepsi	ablepsi			N	1 1 F T	1	1	F		T		D	B	X	F	S	blindness;
121	abliguri	abligur	abliguriv	abligurit	V	3 4 TRANS	3	4			TRANS		X	X	X	E	O	eat up (dainties); consume in dainty living; waste, squander; waste in feasting;
122	abligurri	abligurr	abligurriv	abligurrit	V	3 4 TRANS	3	4			TRANS		X	X	X	F	L	eat up (dainties); consume in dainty living; waste, squander; waste in feasting;
123	abloc	abloc	ablocav	ablocat	V	1 1 TRANS	1	1			TRANS		X	X	X	E	O	place a contract for (work), hire; let/lease/rent (house);
124	ablu	ablu	ablu	ablut	V	3 1 TRANS	3	1			TRANS		X	X	X	B	O	wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;
125	ablud	ablud	-	-	V	3 1 INTRANS	3	1			INTRANS		X	X	X	E	O	differ from; fall short of; play out of tune;
126	ablutio	ablution			N	3 1 F T	3	1	F		T		E	E	X	C	E	washing, ablution; pouring on (mixture of water and wine) in the liturgy;
127	abluvi	abluvi			N	2 2 N T	2	2	N		T		X	A	X	E	O	flooding of rivers, inundation;
128	abluvio	abluvion			N	3 1 F T	3	1	F		T		X	A	X	E	O	erosion;
129	abmaterter	abmaterter			N	1 1 F P	1	1	F		P		X	X	X	E	O	great-great-great aunt (mother's side);
130	abnat	abnat	abnatav	abnatat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	E	O	swim away from; swim off;
131	abneg	abneg	abnegav	abnegat	V	1 1 TRANS	1	1			TRANS		X	X	X	C	O	deny; decline (to), refuse, reject; refuse to give, withhold (what is due);
132	abnegatio	abnegation			N	3 1 F T	3	1	F		T		E	X	X	C	E	denial;
133	abnegativ	abnegativ			ADJ	1 1 POS	1	1		POS			E	X	X	C	E	negative;
134	abnegator	abnegator			N	3 1 M P	3	1	M		P		E	X	X	C	E	denier, one who denies;
135	abnepos	abnepot			N	3 1 M P	3	1	M		P		X	X	X	C	O	great-great grandson; indefinitely distant descendent;
136	abneptis	abnept			N	3 3 F P	3	3	F		P		X	X	X	E	O	great-great granddaughter; indefinitely distant female descendent;
137	abnoct	abnoct	abnoctav	abnoctat	V	1 1 INTRANS	1	1			INTRANS		X	X	X	E	O	spend the night out, stay away all night; spend the night away from Rome;
138	abnod	abnod	abnodav	abnodat	V	1 1 TRANS	1	1			TRANS		D	A	X	F	S	cut off knots; clear trees of knots;
139	abnorm	abnorm			ADJ	3 2 POS	3	2		POS			X	S	X	E	L	of/belonging to no school (of philosophy); deviating from the rule; irregular;
140	abnormal	abnormal			ADJ	3 2 POS	3	2		POS			F	X	X	E	M	abnormal;
141	abnu	abnu	abnu	abnuit	V	3 1 X	3	1			X		X	X	X	A	O	refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
142	abnu	abnu	-	-	V	2 1 X	2	1			X		B	X	X	A	O	refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
143	abnuitio	abnuition			N	3 1 F T	3	1	F		T		D	S	X	F	S	negation;
144	abnumer	abnumer	abnumerav	abnumerat	V	1 1 TRANS	1	1			TRANS		D	S	X	F	S	count up, reckon up;
145	abnut	abnut	abnutav	abnutat	V	1 1 INTRANS	1	1			INTRANS		B	X	X	C	L	deny/refuse/forbid (w/shake of head) repeatedly; forbid;
146	abnutiv	abnutiv			N	2 2 N T	2	2	N		T		D	X	X	F	S	refusal, denying;
147	abnutiv	abnutiv			ADJ	1 1 POS	1	1		POS			X	X	X	F	O	negative;
148	abol	abol	abolev	abolit	V	2 1 TRANS	2	1			TRANS		X	X	X	B	O	destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;
149	abolefaci	abolefac	abolefec	abolefact	V	3 1 TRANS	3	1			TRANS		D	X	X	F	S	destroy;
150	abolefi	abolef	-	abolefact	V	3 3 SEMIDEP	3	3			SEMIDEP		D	X	X	F	S	be destroyed; (abolefacio PASS);
151	abolesc	abolesc	abolev	-	V	3 1 INTRANS	3	1			INTRANS		X	X	X	C	O	decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;
152	abolitio	abolition			N	3 1 F T	3	1	F		T		X	L	X	C	O	cancellation, annulment (law); withdrawal (charge), amnesty; obliteration;
153	abolitor	abolitor			N	3 1 M P	3	1	M		P		D	X	X	F	S	one who takes away a thing; one who casts a thing into oblivion;
154	aboll	aboll			N	1 1 C T	1	1	C		T		X	X	X	E	L	cloak (thick wool, for soldiers/peasants), mantle; wearer of a cloak;
155	abomin	abomin	abominav	abominat	V	1 1 TRANS	1	1			TRANS		B	X	X	F	S	avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;
156	abomin	abomin	-	abominat	V	1 1 DEP	1	1			DEP		X	X	X	C	O	avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;
157	abominabil	abominabil			ADJ	3 2 POS	3	2		POS			E	X	X	C	E	detestable, hateful, abominable; worthy of destruction;
158	abominament	abominament			N	2 2 N T	2	2	N		T		D	X	X	F	S	abomination, detestable thing;
159	abominand	abominand			ADJ	1 1 POS	1	1		POS			X	X	X	C	O	ill-omened, of evil omen; detestable, odious; execrable, abominable;
160	abominanter				ADV	POS				POS			D	X	X	F	S	abominably, detestably;
161	abominat	abominat			ADJ	1 1 POS	1	1		POS			X	X	X	E	S	abominated/detested; accursed;
162	abominatio	abomination			N	3 1 F T	3	1	F		T		E	X	X	C	E	aversion, detestation, loathing;
163	abominos	abominos			ADJ	1 1 POS	1	1		POS			D	X	X	F	S	full of ill omens, portentous;
164	abori	abor	-	abort	V	3 4 DEP	3	4			DEP		X	X	X	C	O	pass away, disappear, be lost; miscarry, be aborted; set (sun/planet/star);
165	aborigine	aborigine			ADJ	1 1 POS	1	1		POS			X	X	X	F	O	aboriginal; (pertaining to) pre-Roman Italy/original founders of a city;
166	aborisc	aborisc	-	-	V	3 1 INTRANS	3	1			INTRANS		X	X	X	F	O	pass/fade away, disappear, be lost;
167	abors	abors			ADJ	1 1 POS	1	1		POS			D	B	X	E	S	miscarriage; abortion; that which has been brought forth prematurely;
168	abort	abort			N	2 2 N T	2	2	N		T		D	B	X	E	S	miscarriage; premature/untimely birth; abortion; dead fetus; getting abortion;
169	abort	abort			N	4 1 M T	4	1	M		T		X	B	X	C	O	miscarriage; premature/untimely birth; abortion; dead fetus; getting abortion;
170	abort	abort	abortav	abortat	V	1 1 INTRANS	1	1			INTRANS		X	A	X	F	O	cast its young (beast) (give birth prematurely);
171	aborti	abort	-	-	V	3 4 INTRANS	3	4			INTRANS		D	B	X	F	S	miscarry;
172	aborti	aborti			N	2 2 N T	2	2	N		T		D	E	X	F	S	abortion; miscarriage;
173	abortio	abortion			N	3 1 F T	3	1	F		T		X	B	X	D	O	abortion, miscarriage; premature delivery; procuring an abortion;
174	abortiv	abortiv			N	2 1 M P	2	1	M		P		X	B	X	C	O	one prematurely born; one addled;
175	abortiv	abortiv			N	2 2 N T	2	2	N		T		X	B	X	E	L	abortifacient, that which caused abortion; contraceptive; premature birth; abortion; miscarriage; means of procuring an abortion;
176	abortiv	abortiv			ADJ	1 1 POS	1	1		POS			X	B	X	C	O	abortive; abortificient; contraceptive; addled; prematurely born;
177	abpatru	abpatru			N	2 1 M P	2	1	M		P		X	X	X	F	O	great-great-great uncle (father's side);
178	abr	abr			N	1 1 F P	1	1	F		P		E	X	X	C	E	maid;
179	abrad	abrad	abras	abras	V	3 1 TRANS	3	1			TRANS		X	X	X	C	O	scratch/scrape/rub/wipe (off), shave; erase; wash/erode away; knock off, rob;
180	abrelict	abrelict			ADJ	1 1 POS	1	1		POS			D	X	X	F	S	deserted, abandoned;
181	abrenunciatio	abrenunciation			N	3 1 F T	3	1	F		T		E	X	X	C	E	repudiation, renunciation, renouncing;
182	abrenunti	abrenunti	abrenuntiav	abrenuntiat	V	1 1 TRANS	1	1			TRANS		E	X	X	C	E	renounce, repudiate (strongly);
183	abripi	abrip	abripu	abrept	V	3 1 TRANS	3	1			TRANS		X	X	X	B	O	drag/snatch/carry/remove away by force; wash/blow away (storm); abduct, kidnap;
184	abrod	abrod	abros	abros	V	3 1 TRANS	3	1			TRANS		X	X	X	E	O	gnaw off/away;
185	abrodiaet	abrodiaet			N	2 1 M P	2	1	M		P		C	X	X	F	S	living delicately, epithet of the painter Parrhasius;
186	abrog	abrog	abrogav	abrogat	V	1 1 TRANS	1	1			TRANS		X	L	X	B	O	abolish; repeal wholly, annul; remove, take away;
187	abrogatio	abrogation			N	3 1 F T	3	1	F		T		X	L	X	E	O	repeal of a law; disregard, ignore, repudiate; cancel, rescind, revoke (honor);
188	abroton	abroton			N	2 1 M T	2	1	M		T		X	A	X	F	S	aromatic plant, southern-wood (medicine);
189	abroton	abroton			N	2 2 N T	2	2	N		T		X	A	X	F	L	aromatic plant, southern-wood (medicine);
190	abrotonit	abrotonit			N	1 7 M T	1	7	M		T		D	A	X	F	S	wine prepared with the aromatic plant, southern-wood;
191	abrump	abrump	abrup	abrupt	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	break (bonds); break off; tear asunder; cut through, sever; remove, separate;
192	abrupt	abrupt			N	2 2 N T	2	2	N		T		D	X	X	E	S	steep ascent/decent; rough dangerous ways (pl.);
193	abrupt	abrupt	abrupti	abruptissi	ADJ	1 1 X	1	1		X			X	X	X	B	O	precipitous, steep; hasty; rash; uncompromising, haughty, aloof; abrupt, sudden; broken, disconnected, abrupt; stubborn;
194	abrupte				ADV	POS				POS			X	X	X	F	O	abruptly, suddenly; precipitously, steeply; hastily; rashly; here and there;
195	abruptio	abruption			N	3 1 F T	3	1	F		T		X	X	X	E	O	breaking, breaking off; separation, divorce;
196	abs				PREP	ABL						ABL	X	X	X	A	O	by (agent), from (departure, cause, remote origin (time); after (reference);
197	abs	ab	abfu	abfut	V	5 1 TO_BEING	5	1			TO_BEING		X	X	X	D	S	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
198	abs	ab	afu	afut	V	5 1 TO_BEING	5	1			TO_BEING		X	X	X	A	O	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
199	abs	abs			N	2 1 M T	2	1	M		T		X	X	X	E	O	wad (of wool);
200	absced	absced	abscess	abscess	V	3 1 INTRANS	3	1			INTRANS		X	X	X	A	O	withdraw, depart, retire; go/pass off/away; desist; recede (coasts); slough;
201	abscess	abscess			N	4 1 M T	4	1	M		T		X	X	X	C	O	going away, departure, withdrawal, absence; remoteness; abscess; death;
202	abscid	abscid	abscid	abscis	V	3 1 TRANS	3	1			TRANS		X	X	X	B	O	hew/cut off/away/out; fell/cut down; remove, separate/cut off/destroy, divide; take away violently; expel/banish; destroy (hope); amputate; prune; cut short;
203	abscind	abscind	abscid	absciss	V	3 1 TRANS	3	1			TRANS		X	X	X	B	O	tear (away/off) (clothing); cut off/away/short; part, break, divide, separate;
204	abscis	abscis	abscisi	abscisissi	ADJ	1 1 X	1	1		X			X	X	X	C	O	steep, sheer, precipitous; abrupt, curt, brusque; restricted; cut off, severed;
205	abscise				ADV	POS				POS			X	X	X	E	O	abruptly, brusquely, curtly; shortly, concisely, distinctly;
206	abscisio	abscision			N	3 1 F T	3	1	F		T		X	G	X	E	O	loss of voice; aposiopesis (rhetoric, breaking off emotionally), interruption;
207	abscissio	abscission			N	3 1 F T	3	1	F		T		X	G	X	F	S	loss of voice; aposiopesis (rhetoric, breaking off emotionally), interruption;
208	abscond	abscond	abscond	abscondit	V	3 1 X	3	1			X		X	X	X	B	O	hide, conceal, secrete, shelter; leave behind; bury, engulf, swallow up; keep;
209	abscond	abscond	abscondid	abscondit	V	3 1 X	3	1			X		X	X	X	D	X	hide, conceal, secrete, shelter; leave behind; bury, engulf, swallow up; keep;
210	abscond	abscond	abscondu	abscondit	V	2 1 X	2	1			X		E	X	X	E	W	hide, conceal, secrete, shelter; leave behind; bury, engulf, swallow up; keep;
211	abscondit	abscondit			N	2 2 N T	2	2	N		T		X	X	X	C	E	hidden/secret/concealed place/thing; secret;
212	abscondit	abscondit			ADJ	1 1 POS	1	1		POS			X	X	X	A	O	hidden, secret, concealed; covert, disguised; abstruse, recondite;
213	abscondite				ADV	POS				POS			X	X	X	E	O	abstrusely; profoundly; secretly;
214	abscons	abscons			ADJ	1 1 POS	1	1		POS			E	X	X	C	E	hidden, secret, concealed, unknown;
215	absconse				ADV	POS				POS			X	X	X	E	O	secretly;
216	absconsio	absconsion			N	3 1 F W	3	1	F		W		E	X	X	C	E	shelter;
217	absegmen	absegmin			N	3 2 N T	3	2	N		T		X	X	X	F	O	piece/slice/hunk of meat, collop; morsel, portion, lump, mouthful, gobbet;
218	absens	absent			ADJ	3 1 POS	3	1		POS			X	X	X	B	O	absent, missing, away, gone; physically elsewhere (things), non-existent;
